Date,Time,Source Port,Destination Port,Packet Length,Malware Indicators,Anomaly Scores,Alerts/Warnings,Proxy Information,Firewall Logs,IDS/IPS Alerts,Search Engine,OS,Packet Type_Data,Protocol_TCP,Protocol_UDP,Action Taken_Ignored,Action Taken_Logged,Severity Level_Low,Severity Level_Medium,Attack Type_Intrusion,Attack Type_Malware,Traffic Type_FTP,Traffic Type_HTTP,Log Source_Server
2020-12-29,02:50:47,4510,26783,124,0.0,44.75,1.0,0,0.0,0.0,MSIE,Windows,0,1,0,1,0,0,0,0,0,0,0,0
2020-07-27,00:00:53,55147,17595,461,1.0,13.19,0.0,1,1.0,1.0,Safari,iOS,1,1,0,1,0,0,0,0,0,0,1,1
2021-07-16,20:45:42,24907,37634,845,0.0,89.99,1.0,1,1.0,0.0,Safari,macOS,0,0,0,0,0,0,1,0,1,0,0,0
2022-04-29,14:46:46,37998,1757,410,1.0,86.91,0.0,0,1.0,1.0,Safari,Windows,0,0,1,0,0,1,0,0,1,0,0,1
2023-02-24,06:39:25,3133,46077,1425,0.0,72.25,0.0,1,0.0,1.0,MSIE,Windows,1,0,1,0,1,0,0,0,0,0,0,1
2023-09-15,15:43:03,40832,28015,118,1.0,96.27,0.0,1,0.0,0.0,MSIE,Windows,1,0,1,0,1,0,1,0,1,0,1,0
2023-10-06,06:53:51,39911,27107,1386,1.0,67.43,0.0,0,1.0,0.0,MSIE,Windows,0,1,0,0,0,0,1,0,0,0,0,1
2023-10-06,02:37:35,23021,31279,433,0.0,89.86,1.0,0,1.0,1.0,Safari,Windows,0,0,1,0,1,1,0,1,0,0,0,0
2021-01-31,03:12:04,32552,15521,531,0.0,87.23,0.0,1,1.0,1.0,Safari,Windows,0,0,1,0,0,0,0,0,1,1,0,0
2020-08-28,09:54:45,56607,33023,282,1.0,44.4,1.0,1,0.0,1.0,MSIE,Windows,0,1,0,0,1,1,0,0,0,0,1,0
2021-05-29,15:33:51,64351,43307,1487,1.0,45.42,0.0,0,1.0,1.0,Opera,Linux,0,0,0,0,0,1,0,1,0,0,1,0
2022-05-30,18:26:12,19954,11594,563,1.0,25.7,0.0,0,1.0,1.0,Chrome,Linux,0,0,1,1,0,0,1,1,0,0,0,0
2022-08-02,19:15:37,63062,49527,1313,1.0,69.2,1.0,0,1.0,0.0,Safari,iOS,0,1,0,0,1,1,0,0,0,0,1,0
2023-01-10,12:29:37,39208,61136,350,0.0,77.06,1.0,0,1.0,1.0,Safari,Windows,0,0,1,1,0,0,1,0,0,0,1,0
2020-10-15,19:05:37,12932,47900,373,1.0,3.87,1.0,0,1.0,1.0,Opera,Linux,1,1,0,1,0,0,1,0,1,0,0,1
2021-06-09,18:55:30,11482,16459,1155,0.0,25.93,1.0,1,0.0,0.0,Chrome,macOS,0,0,0,0,0,1,0,0,1,0,0,0
2020-07-08,08:08:54,18768,8138,521,1.0,60.57,1.0,0,1.0,1.0,Safari,iOS,1,1,0,1,0,0,0,0,0,1,0,1
2023-09-23,19:07:33,41615,15184,1346,1.0,67.73,0.0,0,0.0,1.0,Firefox,Android,1,0,0,0,0,1,0,1,0,1,0,1
2022-05-22,03:10:27,34512,40467,1311,1.0,75.16,0.0,0,0.0,1.0,Safari,iOS,0,0,1,0,0,0,1,0,0,0,0,0
2022-06-04,20:45:18,28975,5960,117,0.0,75.46,1.0,0,0.0,0.0,Firefox,Android,0,0,1,0,1,1,0,0,1,1,0,1
2022-12-29,23:42:12,46111,15554,1271,0.0,49.03,1.0,0,0.0,1.0,Opera,Windows,0,1,0,0,1,0,1,0,1,0,1,0
2023-03-14,07:27:32,5032,1068,308,0.0,85.28,1.0,1,0.0,0.0,Safari,iOS,0,1,0,0,0,0,1,1,0,0,0,1
2021-02-13,16:45:36,58316,54095,545,0.0,6.44,0.0,0,0.0,1.0,Safari,iOS,1,1,0,1,0,0,1,0,0,0,0,0
2021-05-23,16:29:26,26896,45972,572,0.0,22.17,0.0,1,1.0,1.0,MSIE,Windows,0,0,1,1,0,1,0,0,0,0,0,1
2022-12-01,08:47:07,1031,40417,1474,1.0,29.66,0.0,0,0.0,0.0,Chrome,Linux,0,1,0,0,1,1,0,0,0,0,1,0
2022-07-21,20:33:30,57124,48417,1363,1.0,10.75,1.0,0,1.0,0.0,Safari,Windows,1,0,1,0,0,0,0,1,0,1,0,1
2023-06-09,05:57:13,32979,3852,443,0.0,42.14,1.0,1,1.0,1.0,Firefox,macOS,1,0,1,1,0,0,0,0,1,0,0,1
2020-04-10,18:21:31,59738,44531,1026,0.0,77.73,0.0,0,0.0,0.0,Opera,Linux,1,1,0,0,1,1,0,0,0,1,0,0
2023-05-16,13:01:56,25022,6593,554,1.0,97.82,1.0,1,1.0,1.0,Safari,iOS,0,1,0,0,0,0,0,0,1,0,0,0
2020-10-08,04:34:34,10584,23178,649,1.0,83.36,1.0,1,0.0,1.0,Firefox,Linux,1,0,0,0,0,0,0,1,0,0,1,1
2021-08-20,14:42:57,23934,57206,1378,1.0,40.71,0.0,1,1.0,1.0,MSIE,Windows,0,1,0,0,0,0,1,0,1,0,0,0
2021-05-08,04:56:17,57819,10509,107,0.0,1.33,1.0,1,1.0,0.0,MSIE,Windows,1,0,0,1,0,0,0,0,0,0,1,0
2023-01-18,01:12:24,49005,19289,317,1.0,56.92,0.0,1,1.0,1.0,MSIE,Windows,1,0,0,1,0,1,0,0,0,0,1,1
2021-04-16,12:48:40,56497,23998,875,1.0,0.9,0.0,1,0.0,0.0,Safari,Windows,1,0,0,0,0,0,0,0,0,0,1,1
2022-04-28,14:18:26,32348,12619,576,0.0,77.7,0.0,0,1.0,0.0,Opera,Linux,1,0,1,0,0,1,0,0,0,0,0,0
2023-02-20,06:41:55,23870,21385,619,1.0,67.56,1.0,0,1.0,0.0,Opera,Windows,1,1,0,0,1,0,0,1,0,1,0,1
2020-12-13,02:43:04,46895,63852,1224,1.0,91.82,1.0,0,0.0,1.0,Firefox,Linux,1,1,0,0,1,0,1,0,1,0,1,1
2022-08-20,07:46:57,11468,31398,632,0.0,50.13,0.0,0,1.0,0.0,Firefox,Windows,1,1,0,0,1,1,0,0,1,1,0,0
2022-05-23,04:50:39,30954,3615,670,0.0,41.53,0.0,0,1.0,0.0,Safari,macOS,0,0,1,0,0,1,0,1,0,0,1,1
2020-01-12,11:01:33,59009,28541,88,0.0,91.21,0.0,0,1.0,0.0,Chrome,Linux,1,0,0,0,0,0,0,0,0,0,1,1
2021-03-24,09:50:44,38169,9878,1497,0.0,82.8,1.0,1,0.0,1.0,Safari,Windows,0,1,0,1,0,1,0,0,1,0,1,1
2020-01-12,19:33:29,35384,2184,304,0.0,78.85,0.0,1,1.0,0.0,Safari,iOS,1,0,0,1,0,0,0,1,0,0,0,0
2021-10-08,21:42:19,22371,4914,1001,1.0,50.69,1.0,1,0.0,0.0,Firefox,Linux,1,0,0,1,0,1,0,0,0,0,1,0
2022-08-17,19:20:40,10510,4024,1352,1.0,75.3,0.0,0,0.0,1.0,Safari,iOS,1,0,1,0,1,0,0,0,1,0,1,1
2022-08-17,02:04:53,57482,1091,548,0.0,33.08,0.0,1,0.0,1.0,Safari,iOS,1,0,1,0,0,1,0,0,0,1,0,1
2020-03-10,04:31:21,7703,19110,1114,0.0,7.27,1.0,1,0.0,1.0,Safari,iOS,1,0,1,0,1,0,0,1,0,0,0,1
2022-11-20,17:53:28,33992,31136,149,1.0,76.68,1.0,0,0.0,1.0,Safari,Windows,1,1,0,1,0,1,0,0,0,0,0,1
2022-11-17,22:12:24,55666,4791,548,1.0,36.22,1.0,0,0.0,1.0,Safari,iOS,1,1,0,0,1,0,1,1,0,1,0,0
2022-01-08,09:48:37,20947,24568,1106,1.0,13.36,1.0,1,0.0,1.0,Firefox,Linux,0,0,1,0,1,0,0,0,1,0,1,0
2020-03-03,01:54:03,38322,33655,1290,1.0,69.01,0.0,0,0.0,1.0,Firefox,Android,0,0,1,1,0,1,0,1,0,1,0,1
2021-02-15,05:17:05,15973,29809,190,1.0,4.74,1.0,1,0.0,1.0,Safari,iOS,1,0,1,0,1,0,0,0,0,0,0,0
2020-09-13,01:49:45,5107,60905,995,0.0,51.66,1.0,1,1.0,0.0,Opera,Windows,0,0,0,0,1,0,0,0,1,0,0,0
2022-12-25,07:20:06,15067,58291,1342,1.0,83.86,1.0,1,1.0,0.0,Safari,macOS,0,1,0,0,0,0,0,1,0,0,1,0
2021-01-27,22:49:34,18782,24516,722,0.0,79.61,1.0,1,1.0,1.0,Firefox,macOS,1,0,0,1,0,0,1,0,1,0,1,0
2023-05-30,17:14:15,44364,53766,1181,0.0,14.95,1.0,0,0.0,1.0,Safari,macOS,0,0,0,0,0,1,0,0,1,0,0,1
2020-06-30,01:24:54,11307,36569,907,0.0,12.1,0.0,1,1.0,0.0,MSIE,Windows,0,1,0,0,1,0,1,0,1,0,0,0
2020-07-07,03:50:24,62568,27834,1427,1.0,3.33,0.0,0,0.0,0.0,MSIE,Windows,1,0,0,1,0,0,0,1,0,0,1,1
2020-03-18,07:33:47,16019,14834,793,1.0,18.93,1.0,0,0.0,0.0,Safari,iOS,0,0,1,0,0,1,0,1,0,0,1,1
2020-03-09,20:24:39,54052,10368,686,0.0,96.83,0.0,0,0.0,0.0,MSIE,Windows,0,0,0,1,0,1,0,0,0,0,0,1
2023-07-07,19:15:20,40014,9720,1092,0.0,82.75,1.0,1,1.0,0.0,Safari,Windows,1,0,1,0,1,1,0,1,0,0,0,0
2022-12-25,22:00:40,55034,52843,492,0.0,88.16,1.0,0,0.0,1.0,Opera,Windows,1,0,1,0,1,0,0,1,0,0,1,1
2021-04-12,15:06:50,31548,18263,811,1.0,45.33,0.0,0,0.0,0.0,MSIE,Windows,1,0,1,0,0,0,1,0,1,1,0,1
2021-04-20,21:58:18,14156,14806,1444,1.0,91.08,0.0,0,0.0,1.0,Safari,Windows,0,0,0,0,1,1,0,1,0,0,1,0
2023-06-06,06:31:08,7828,38216,423,0.0,45.27,1.0,1,1.0,0.0,Safari,iOS,0,0,1,0,1,1,0,1,0,0,0,0
2021-07-11,05:34:04,53318,29162,744,1.0,51.59,0.0,0,1.0,1.0,Chrome,Linux,1,1,0,1,0,1,0,0,1,0,1,0
2020-12-24,16:18:22,15743,33364,173,1.0,73.69,1.0,0,1.0,1.0,Opera,Linux,0,1,0,1,0,1,0,1,0,0,1,1
2023-09-13,02:42:05,27274,28937,340,0.0,27.25,1.0,0,0.0,0.0,Chrome,Linux,1,0,0,0,0,0,0,1,0,0,1,1
2023-01-23,09:24:38,13393,3334,1082,0.0,81.43,1.0,1,1.0,0.0,Chrome,Linux,0,0,0,0,1,1,0,0,1,1,0,1
2022-04-05,01:54:33,35332,61817,876,0.0,89.28,0.0,1,0.0,0.0,Chrome,macOS,0,0,0,0,0,1,0,1,0,0,0,0
2020-09-30,07:06:33,47821,52974,1319,1.0,43.95,0.0,0,1.0,0.0,Safari,iOS,1,0,1,1,0,0,1,1,0,0,0,0
2023-08-06,09:00:12,4384,31482,976,1.0,1.31,1.0,0,0.0,1.0,Safari,iOS,1,1,0,0,0,0,1,0,0,0,0,0
2022-11-20,04:12:04,27807,53451,985,0.0,98.14,1.0,0,0.0,0.0,Opera,Linux,0,0,1,0,1,0,0,0,1,0,1,1
2020-03-17,07:02:13,39737,17067,902,1.0,84.95,0.0,0,0.0,1.0,Chrome,Linux,1,0,0,0,1,0,1,0,1,1,0,0
2020-08-08,23:19:34,16224,48472,889,1.0,14.56,0.0,1,1.0,0.0,Safari,iOS,0,0,1,0,0,0,1,0,1,0,1,0
2022-03-21,14:41:34,31907,51180,1492,0.0,31.8,0.0,0,1.0,0.0,Safari,Windows,1,1,0,0,1,0,1,0,1,0,1,0
2023-02-13,19:15:26,26586,17971,787,1.0,3.7,1.0,1,0.0,0.0,MSIE,Windows,0,0,1,0,1,1,0,0,1,0,0,1
2022-10-13,04:35:33,25179,13739,1070,0.0,97.64,0.0,1,0.0,0.0,Opera,Linux,0,0,0,0,1,0,1,1,0,0,1,1
2021-11-24,20:11:15,47513,9156,1455,1.0,58.19,1.0,1,0.0,0.0,Firefox,Linux,0,0,1,1,0,0,0,0,0,1,0,0
2021-12-31,11:46:47,12215,50585,640,0.0,10.44,1.0,0,1.0,1.0,Safari,macOS,0,1,0,0,0,0,1,1,0,0,1,1
2021-10-25,04:23:15,19199,27928,1178,1.0,5.39,1.0,1,1.0,1.0,MSIE,Windows,1,0,0,1,0,0,0,0,1,0,1,1
2022-04-25,20:26:30,26123,7023,158,1.0,91.79,0.0,1,0.0,0.0,Safari,iOS,1,0,0,1,0,0,1,1,0,0,1,1
2022-03-17,23:44:57,22345,60531,1409,1.0,70.26,1.0,1,0.0,1.0,MSIE,Windows,1,0,0,1,0,1,0,1,0,1,0,1
2022-11-03,14:58:44,55305,60529,866,0.0,86.55,0.0,1,1.0,0.0,Firefox,Linux,0,0,1,1,0,0,1,0,1,0,0,0
2023-03-31,19:19:56,48262,22039,343,1.0,11.11,0.0,0,0.0,0.0,Safari,macOS,1,1,0,0,0,0,1,0,1,0,1,0
2020-11-22,13:01:36,22623,16469,531,0.0,71.02,0.0,1,1.0,0.0,MSIE,Windows,1,0,0,1,0,1,0,0,0,1,0,1
2020-04-05,09:55:48,28872,35773,1387,0.0,51.68,0.0,0,1.0,1.0,Opera,Windows,0,0,0,1,0,0,1,0,1,0,0,0
2020-12-09,14:27:45,33910,47951,715,0.0,43.23,0.0,0,1.0,0.0,Safari,Windows,0,1,0,1,0,0,0,0,0,0,1,0
2022-10-30,05:51:47,42864,48696,765,1.0,47.31,1.0,1,1.0,1.0,Safari,iOS,0,0,0,0,0,1,0,1,0,0,0,1
2020-10-18,14:09:21,52040,21434,646,0.0,77.67,0.0,1,0.0,0.0,Safari,iOS,1,1,0,1,0,1,0,1,0,0,0,1
2023-07-07,17:18:58,48973,47133,1142,1.0,20.66,1.0,1,0.0,0.0,Opera,Windows,0,1,0,1,0,1,0,1,0,0,1,1
2023-07-10,14:54:07,8137,20031,1005,1.0,90.92,1.0,1,0.0,1.0,Firefox,macOS,0,0,0,0,0,1,0,0,1,1,0,0
2022-06-18,23:08:42,55509,5152,984,0.0,64.89,0.0,0,0.0,0.0,Safari,iOS,1,0,0,0,1,1,0,0,0,1,0,1
2023-08-11,09:21:02,41801,19629,512,1.0,77.07,1.0,1,0.0,0.0,Opera,Linux,1,0,1,0,0,1,0,1,0,0,1,1
2021-10-03,00:19:39,62889,50054,1191,1.0,53.38,0.0,0,1.0,1.0,Firefox,Windows,1,0,1,0,1,1,0,1,0,0,0,1
2023-06-28,04:34:40,45613,2799,527,0.0,22.74,0.0,0,1.0,0.0,Safari,iOS,0,0,0,0,1,0,0,0,0,0,0,0
2021-01-04,15:33:58,59752,42693,1388,0.0,81.87,0.0,0,0.0,0.0,Safari,macOS,0,1,0,0,0,0,0,0,1,1,0,0
2023-08-19,16:40:19,51523,35455,425,0.0,98.62,0.0,0,0.0,1.0,Firefox,Android,0,1,0,0,1,0,0,0,0,0,0,0
2023-08-11,07:44:05,13158,15042,491,0.0,14.41,0.0,0,0.0,0.0,Chrome,Windows,0,0,1,0,0,0,0,0,0,1,0,0
2023-03-13,10:14:12,18221,25776,668,1.0,41.28,1.0,0,1.0,1.0,Firefox,Android,0,0,0,1,0,0,1,0,0,0,1,1
2021-01-31,02:34:53,23041,49310,1127,0.0,36.28,0.0,1,0.0,1.0,MSIE,Windows,1,1,0,0,1,0,0,0,0,0,0,0
2020-10-08,04:36:39,62891,50690,1292,1.0,61.3,1.0,1,0.0,0.0,Safari,iOS,0,1,0,1,0,0,0,0,1,1,0,0
2020-07-15,06:22:35,2887,60489,1026,1.0,36.95,1.0,0,0.0,1.0,MSIE,Windows,1,0,1,1,0,0,1,1,0,0,0,0
2020-03-24,05:59:35,40397,45649,712,1.0,55.44,1.0,1,1.0,1.0,Opera,Linux,0,1,0,0,1,0,0,1,0,1,0,0
2021-12-20,10:55:41,54438,5822,1310,0.0,69.73,0.0,0,0.0,1.0,Chrome,macOS,1,0,0,1,0,0,1,0,1,0,1,0
2022-08-19,13:09:54,20302,11700,1409,1.0,2.88,0.0,0,1.0,1.0,Safari,iOS,1,0,1,0,1,0,1,1,0,0,1,1
2021-12-22,06:08:21,33051,29949,939,1.0,23.53,1.0,1,1.0,0.0,Safari,iOS,1,0,1,0,0,0,1,0,0,0,1,0
2023-06-21,00:16:10,39597,14517,361,0.0,97.16,1.0,1,0.0,0.0,MSIE,Windows,0,0,1,0,0,1,0,1,0,0,0,1
2021-10-20,10:04:33,58860,54145,723,0.0,32.02,0.0,1,0.0,0.0,Firefox,macOS,0,0,0,1,0,0,1,0,1,1,0,0
2022-05-29,09:29:50,63422,60576,1409,1.0,2.26,1.0,1,1.0,1.0,Safari,Windows,1,1,0,0,0,0,1,0,1,0,0,0
2022-04-26,14:58:11,16307,12755,354,0.0,10.59,1.0,0,0.0,1.0,Opera,Linux,0,0,0,1,0,1,0,0,0,0,1,1
2023-07-25,05:14:41,30570,50212,876,1.0,4.38,1.0,0,0.0,0.0,Safari,Windows,0,0,1,0,1,0,1,0,1,1,0,1
2023-08-17,00:55:44,25983,4283,254,0.0,75.09,0.0,1,0.0,1.0,MSIE,Windows,1,0,1,1,0,1,0,0,0,0,1,1
2022-06-07,09:29:05,58743,25449,1100,0.0,28.13,1.0,0,1.0,1.0,Safari,iOS,1,0,1,0,0,1,0,1,0,1,0,0
2021-10-24,19:49:55,52181,46157,574,0.0,26.7,1.0,0,0.0,0.0,Firefox,Linux,1,1,0,1,0,1,0,0,0,1,0,1
2023-03-31,16:02:15,7193,39284,167,0.0,98.88,0.0,0,1.0,1.0,Safari,Windows,0,0,0,0,1,1,0,1,0,0,0,0
2023-02-02,22:53:53,13042,10486,814,1.0,81.92,0.0,1,0.0,0.0,Chrome,Linux,0,0,1,0,1,1,0,0,1,0,0,0
2022-10-20,14:11:36,29637,50534,121,0.0,31.48,0.0,0,1.0,0.0,Safari,Windows,1,0,1,1,0,0,0,0,1,1,0,0
2023-06-11,18:05:49,65102,45442,863,1.0,60.18,0.0,1,0.0,1.0,Firefox,macOS,0,0,1,1,0,1,0,0,1,0,1,1
2021-01-28,14:22:51,37151,12711,187,0.0,70.62,1.0,1,0.0,1.0,Chrome,Linux,1,0,0,0,1,0,0,1,0,0,1,1
2022-07-28,12:21:47,51862,11423,1347,0.0,81.66,1.0,1,0.0,0.0,Firefox,macOS,1,0,1,0,0,0,0,0,0,0,0,0
2023-09-08,16:35:04,54995,28483,709,0.0,70.34,1.0,1,0.0,0.0,MSIE,Windows,0,0,0,0,0,0,1,0,1,1,0,0
2021-08-22,15:05:02,42812,8453,591,1.0,1.19,0.0,1,0.0,0.0,MSIE,Windows,0,0,0,0,1,1,0,1,0,0,0,0
2021-08-20,11:49:10,16640,37110,1043,0.0,20.86,1.0,0,0.0,0.0,MSIE,Windows,1,1,0,1,0,0,1,0,1,0,0,1
2021-06-03,18:53:00,5626,53262,226,0.0,46.97,1.0,1,0.0,0.0,Safari,iOS,0,0,1,0,1,1,0,0,0,1,0,0
2021-03-19,20:59:42,49851,27301,631,0.0,23.82,0.0,0,1.0,0.0,Opera,Windows,0,0,0,1,0,0,0,0,1,1,0,0
2020-03-09,06:51:16,13197,54254,609,1.0,56.0,1.0,1,0.0,0.0,MSIE,Windows,0,0,0,0,1,0,1,0,0,1,0,0
2021-02-08,00:59:54,51264,36338,1132,1.0,15.8,1.0,1,1.0,1.0,Chrome,Linux,1,0,0,1,0,0,0,1,0,0,1,1
2023-01-28,18:14:52,63406,8837,941,1.0,51.0,0.0,1,1.0,0.0,Safari,macOS,1,0,0,0,1,0,0,0,0,1,0,0
2021-06-30,00:40:16,46797,24409,525,0.0,28.61,1.0,1,0.0,0.0,Chrome,Windows,1,0,0,0,1,0,0,1,0,0,1,0
2020-04-02,01:13:58,1753,16107,706,1.0,68.84,0.0,0,1.0,0.0,MSIE,Windows,0,0,1,0,1,1,0,1,0,0,1,0
2022-04-08,10:28:48,59666,17863,1438,0.0,61.62,0.0,1,0.0,1.0,Safari,iOS,0,0,1,0,1,1,0,0,0,0,0,1
2020-03-21,04:09:20,45243,43947,558,0.0,64.44,0.0,1,0.0,0.0,MSIE,Windows,0,1,0,1,0,0,1,0,0,0,0,0
2023-06-30,09:31:21,63488,7024,1485,1.0,11.94,1.0,0,1.0,1.0,Safari,macOS,1,0,0,1,0,1,0,0,0,0,0,0
2020-09-08,00:32:36,26653,61828,1103,0.0,91.04,1.0,0,1.0,1.0,Opera,Windows,0,0,1,1,0,0,0,1,0,0,0,1
2021-01-18,23:39:36,16791,13072,192,0.0,83.16,1.0,0,0.0,0.0,Opera,Linux,1,0,0,0,1,0,0,0,0,1,0,1
2022-04-25,15:58:13,23731,61767,1307,0.0,52.98,1.0,0,0.0,1.0,Chrome,macOS,1,0,1,1,0,0,0,0,0,0,0,0
2020-03-19,04:35:54,21488,29508,882,0.0,20.25,1.0,0,1.0,1.0,Safari,macOS,0,0,0,0,1,0,0,1,0,1,0,0
2022-12-10,16:08:51,13374,61256,1364,0.0,78.06,0.0,0,0.0,1.0,Firefox,macOS,0,1,0,0,0,0,1,0,1,0,1,0
2022-06-30,11:44:53,53218,46503,1368,1.0,0.12,0.0,0,1.0,0.0,Safari,iOS,1,1,0,0,1,1,0,1,0,1,0,0
2020-06-08,07:02:00,15241,28035,418,1.0,87.11,0.0,1,0.0,1.0,Chrome,Windows,1,1,0,0,0,0,1,0,0,0,1,1
2021-03-16,01:46:13,6583,50994,878,0.0,13.21,0.0,1,0.0,0.0,Firefox,Windows,0,0,0,0,0,0,0,0,0,0,1,0
2021-02-01,03:38:35,1069,27287,1358,0.0,17.75,0.0,1,0.0,0.0,Opera,Linux,1,0,1,1,0,1,0,1,0,0,1,0
2022-11-18,22:16:27,59250,54771,721,0.0,7.38,0.0,1,1.0,1.0,Opera,Windows,1,0,1,1,0,1,0,0,0,0,1,0
2021-12-25,17:30:06,3816,53453,1084,1.0,53.02,0.0,0,1.0,1.0,Safari,macOS,0,1,0,0,1,1,0,0,1,0,0,1
2022-03-22,11:32:28,63776,58671,399,0.0,53.91,1.0,0,1.0,0.0,Opera,Linux,0,0,1,0,1,0,0,0,0,0,1,1
2020-06-19,02:52:10,31713,13845,980,1.0,27.15,1.0,1,1.0,0.0,Safari,iOS,1,0,0,0,0,1,0,0,0,1,0,0
2022-12-13,17:01:36,57940,21434,1144,1.0,69.65,0.0,1,1.0,1.0,Chrome,Linux,1,0,1,1,0,0,1,0,1,1,0,1
2023-03-26,11:18:12,4033,47128,423,0.0,29.25,1.0,1,0.0,0.0,MSIE,Windows,0,1,0,0,0,1,0,0,1,1,0,1
2022-09-28,14:52:44,39822,55660,580,1.0,20.55,0.0,1,1.0,0.0,Chrome,macOS,1,0,0,1,0,1,0,0,0,1,0,1
2020-07-16,12:19:07,21364,7436,770,0.0,85.22,1.0,0,1.0,1.0,Chrome,macOS,1,0,0,0,1,0,0,1,0,1,0,1
2022-10-22,04:30:33,54091,17340,308,1.0,40.87,1.0,0,1.0,1.0,MSIE,Windows,1,0,1,0,1,0,1,1,0,0,0,0
2020-12-28,10:10:15,56288,33177,438,1.0,19.3,1.0,1,1.0,1.0,Firefox,Linux,1,0,0,0,0,1,0,1,0,0,0,0
2020-12-23,16:47:04,19944,51870,587,1.0,53.08,1.0,0,0.0,1.0,MSIE,Windows,0,1,0,0,0,1,0,0,0,0,0,1
2022-09-13,14:15:03,61939,60901,665,1.0,50.59,0.0,0,0.0,1.0,Safari,macOS,0,1,0,1,0,1,0,0,1,0,0,0
2021-02-15,05:51:12,5617,22614,717,1.0,71.35,1.0,1,0.0,1.0,Opera,Linux,0,0,1,1,0,1,0,0,0,0,1,1
2021-10-28,22:47:37,21202,63110,1407,1.0,88.21,0.0,0,1.0,0.0,Firefox,Linux,0,0,0,0,1,0,0,0,0,1,0,0
2020-06-08,21:47:40,6968,31173,1090,0.0,2.09,1.0,1,1.0,0.0,Safari,Windows,1,1,0,1,0,1,0,1,0,1,0,0
2022-11-06,05:19:08,45151,33913,381,1.0,67.74,1.0,0,1.0,1.0,Safari,iOS,0,0,0,0,1,0,0,0,1,1,0,0
2022-04-23,06:04:38,61227,23677,802,0.0,40.88,1.0,0,1.0,1.0,Chrome,Linux,1,0,0,1,0,0,0,1,0,1,0,0
2021-01-28,02:27:50,9697,19057,574,1.0,68.95,0.0,0,1.0,1.0,MSIE,Windows,1,1,0,1,0,0,0,0,0,1,0,1
2021-09-07,23:26:04,10057,33783,1152,0.0,47.58,0.0,1,0.0,0.0,MSIE,Windows,0,0,1,1,0,1,0,1,0,0,0,0
